Regions,Target'000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Universe,Universe HH,A,B,CDE,ABC,Male,Female,2-12,2-14,13-21,15-21,22-30,31-40,41-50,51-60,61+,MF 15-30 CDE,MF 15-30 ABCDE,MF 15-30 A,MF 2-14 AB,MF 15-40 AB,MF 15-30 AB,MF 13-21 AB,MF 2-40 AB,MF 13-21 A,F 22-50 AB,F 22-50 A,F 22-40 AB,MF 15-40 ABCDE,MF 13-21 ABCDE,15-30,F 22-40 ABC,MF 22-40 AB,MF 13-21 ABC,F 22-40 BCDE,F 22-40 A,MF 13-21 BCDE,MF 13-21 CDE,MF 31-50 AB,MF 15-30 ABC,MF 15-21 ABC,MF 2-40 ABC,MF 2-14 ABC,MF 22+ ABC,F 15-21 A,F 22-30 A,F 21-40 A,F 41-50 A,F 51-60 A,F 61+ A,M 15-21 A,M 22-30 A,M 31-40 A,M 41-50 A,M 51-60 A,M 61+ A,MF 15-21 AB,MF 22-30 AB,MF 31-40 AB,MF 41-50 AB,MF 51-60 AB,MF 61+ AB,F 15-21 AB,F 22-30 AB,F 31-40 AB,F 41-50 AB,F 51-60 AB,F 61+ AB,M 15-21 AB,M 22-30 AB,M 31-40 AB,M 41-50 AB,M 51-60 AB,M 61+ AB,F 2-40 A,F 22+ ABC
AP / Telangana,"89,749.64","24,572.30","13,291.78","26,062.91","50,394.96","79,274.29","44,116.77","45,632.87","15,119.63","20,260.42","18,586.39","13,445.61","16,435.62","14,543.28","10,436.86","6,994.80","7,633.05","17,600.47","29,881.23","4,104.27","9,643.12","19,009.46","12,280.75","7,009.92","28,652.59","1,944.28","9,281.62","3,205.26","6,950.85","44,424.51","18,586.39","29,881.23","14,282.61","14,298.22","16,241.96","13,526.47","2,474.18","16,642.11","11,576.47","11,384.81","26,653.96","11,673.18","57,712.01","18,111.13","40,172.47",780.29,"1,492.84",981.34,731.08,634.30,526.18,560.94,"1,270.20","1,375.99",741.08,452.91,500.77,"4,711.25","7,569.51","6,728.71","4,656.10","2,981.42","3,064.58","2,744.02","3,922.37","3,028.49","2,330.77","1,710.15","1,579.72","1,967.22","3,647.14","3,700.22","2,325.33","1,271.27","1,484.86","4,918.54","25,288.27"
Karnataka,"66,433.65","16,146.09","14,752.29","23,335.44","28,345.93","59,559.72","33,648.17","32,785.48","11,584.84","15,755.57","13,584.44","9,413.70","12,657.67","10,284.12","7,833.08","5,154.13","5,335.38","10,262.90","22,071.38","4,612.18","8,580.29","18,165.71","11,808.48","7,005.58","26,746.00","2,371.85","8,412.96","3,485.70","6,303.96","32,355.50","13,584.44","22,071.38","10,356.29","13,196.29","11,930.90","8,845.01","2,655.29","11,212.59","6,578.86","11,009.45","19,793.19","8,294.63","43,026.99","13,830.93","30,405.50",798.96,"1,504.02","1,151.27",830.41,632.97,716.74,873.97,"1,435.22","1,366.10",969.00,609.96,688.85,"4,969.42","6,839.06","6,357.23","4,652.22","3,313.66","3,375.85","2,440.21","3,364.82","2,939.14","2,109.00","1,706.34","1,790.30","2,529.21","3,474.24","3,418.09","2,543.22","1,607.32","1,585.55","4,906.80","18,574.68"
Kerala,"32,395.33","8,593.44","11,769.97","12,072.31","8,553.05","31,450.74","15,554.52","16,840.81","5,385.66","6,851.48","4,751.64","3,285.82","4,836.58","5,189.84","4,858.65","3,572.12","3,800.84","1,887.61","8,122.40","3,137.02","5,077.31","10,310.89","6,234.80","3,480.43","15,388.20","1,418.92","6,032.76","3,052.79","4,201.21","13,312.25","4,751.64","8,122.40","5,281.23","7,909.70","4,622.36","3,050.31","2,310.98","3,332.72","1,271.21","7,525.62","7,952.10","3,185.03","19,723.76","6,665.17","16,899.22",n.a,"1,161.19","1,149.80",741.80,663.68,636.75,473.55,"1,002.20","1,125.39",681.36,463.86,641.57,"2,401.19","3,833.61","4,076.10","3,449.52","2,508.13","2,496.43","1,194.36","2,028.30","2,172.90","1,831.55","1,316.29","1,318.19","1,206.83","1,805.30","1,903.20","1,617.97","1,191.84","1,178.23","4,050.36","11,451.49"
TN/Pondicherry,"80,441.48","22,633.63","23,367.31","27,830.35","29,243.82","75,269.35","39,649.85","40,791.63","12,872.98","16,642.63","14,239.42","10,469.77","13,885.36","13,453.83","10,934.82","7,863.40","7,191.67","8,662.54","24,355.13","7,162.56","10,578.13","24,782.91","15,692.58","8,376.41","35,361.03","3,181.87","13,083.59","6,189.03","9,600.02","37,808.95","14,239.42","24,355.13","13,583.57","18,573.45","13,312.89","9,573.87","4,651.26","11,057.54","5,863.00","16,212.22","23,094.72","9,744.00","51,760.10","15,800.13","39,522.86","1,162.02","2,531.86","2,119.40","1,537.76","1,082.31",923.97,"1,192.21","2,276.47","2,248.87","1,580.91","1,069.92",922.66,"6,209.46","9,483.13","9,090.32","7,121.90","4,707.65","4,007.07","3,080.83","4,987.98","4,612.04","3,483.57","2,290.91","1,980.50","3,128.62","4,495.15","4,478.28","3,638.33","2,416.74","2,026.58","8,116.14","25,227.57"
Bihar/Jharkhand,"47,812.02","9,872.49","9,241.80","14,421.83","24,148.40","40,925.79","25,174.35","22,637.68","12,256.94","16,165.17","11,091.58","7,183.35","7,851.04","6,562.19","4,438.48","2,934.04","2,677.77","7,865.72","15,034.39","2,752.86","7,561.38","10,274.90","7,168.66","4,922.02","17,836.27","1,602.83","4,729.18","1,906.58","3,629.85","21,596.57","11,091.58","15,034.39","6,469.50","7,099.11","9,520.17","5,960.30","1,435.24","9,488.75","6,169.56","5,617.29","13,159.75","6,159.05","32,203.95","13,548.38","17,221.01",482.21,819.23,616.01,471.35,362.04,381.45,680.38,771.04,717.20,557.76,370.19,487.63,"3,175.79","3,992.87","3,106.23","2,511.05","1,632.08","1,684.22","1,428.29","2,095.89","1,533.95","1,099.33",763.76,743.28,"1,747.50","1,896.98","1,572.28","1,411.72",868.32,940.94,"3,075.20","10,460.98"
MP/Chhattisgarh,"66,633.85","16,405.86","11,538.20","19,969.88","35,125.76","57,477.46","33,452.12","33,181.73","15,967.54","20,824.22","13,914.48","9,057.80","11,934.00","10,783.89","7,015.35","3,849.65","3,168.94","12,310.19","20,991.80","3,151.59","9,605.90","13,972.49","8,681.61","5,392.36","23,578.39","1,677.08","6,919.86","2,661.82","5,069.41","31,775.69","13,914.48","20,991.80","9,684.63","10,577.03","11,061.82","9,171.91","1,928.58","12,237.40","8,522.12","9,356.39","18,148.42","6,841.88","45,344.73","18,206.39","26,362.66",508.71,992.73,935.85,733.24,511.36,438.30,636.51,"1,013.64","1,075.11",854.35,378.03,366.49,"3,395.46","5,286.14","5,290.88","4,065.51","2,175.49","1,688.71","1,508.66","2,529.67","2,539.74","1,850.45","1,248.30",925.68,"1,886.80","2,756.48","2,751.14","2,215.05",927.18,763.03,"3,820.12","16,005.46"
Pun/Cha,"29,433.63","6,580.70","13,086.57","9,206.69","7,140.38","29,051.43","15,533.49","13,900.14","5,486.34","6,744.00","5,466.04","4,208.37","5,138.38","4,628.51","3,637.41","2,343.09","2,733.87","2,613.36","9,346.75","3,619.18","5,055.22","10,301.67","6,733.39","3,930.06","15,356.89","2,033.27","5,139.98","3,091.73","3,646.79","13,975.27","5,466.04","9,346.75","4,726.32","7,349.88","5,359.65","2,603.49","2,157.91","3,432.76","1,535.98","6,454.52","9,233.01","4,146.69","20,424.13","6,604.38","14,698.92",704.88,"1,011.12","1,146.78",933.83,626.61,670.38,795.03,"1,108.15","1,044.22",820.17,614.34,706.76,"2,951.79","3,781.60","3,568.28","2,886.23","1,943.76","2,106.38","1,265.40","1,768.45","1,878.34","1,493.18",987.68,"1,005.46","1,686.40","2,013.14","1,689.94","1,393.05",956.07,"1,100.91","4,162.96","9,014.57"
Har/HP/J&K,"30,700.16","6,494.87","14,311.24","9,092.97","7,295.96","29,592.73","16,233.11","14,467.05","6,670.92","8,310.09","5,716.93","4,077.76","5,730.58","4,941.47","3,270.10","2,239.72","2,130.45","2,365.01","9,808.34","4,527.77","6,135.58","11,177.06","7,443.32","4,002.40","17,312.64","2,378.36","5,161.70","3,227.60","3,912.55","14,749.81","5,716.93","9,808.34","4,889.12","8,213.66","5,462.16","2,539.83","2,475.26","3,338.56","1,714.52","6,253.95","9,594.77","3,932.87","22,174.78","7,824.47","14,686.10",740.19,"1,277.31","1,197.96",752.33,561.11,530.07,987.66,"1,522.62","1,121.40",762.79,588.51,602.01,"2,963.40","4,479.93","3,733.73","2,520.22","1,784.62","1,786.72","1,303.75","2,020.54","1,892.02","1,249.15",873.94,844.76,"1,659.65","2,459.39","1,841.72","1,271.07",910.67,941.97,"4,916.32","8,528.71"
Kolkata,"13,862.11","3,541.61","3,466.40","3,886.00","6,509.70","12,700.90","6,984.68","6,877.43","2,027.71","2,589.53","2,182.12","1,620.31","2,446.70","2,518.19","2,029.34","1,263.87","1,394.17","2,176.72","4,067.01",816.78,"1,279.03","3,149.71","1,890.29",945.44,"4,428.74",n.a,"1,806.70",777.56,"1,239.18","6,585.20","2,182.12","4,067.01","2,283.55","2,430.95","1,899.16","1,988.34",523.33,"1,824.10","1,236.68","2,385.47","3,682.06","1,413.70","8,301.40","2,345.29","7,056.33",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,318.98,718.76,"1,171.53","1,259.42","1,126.05",772.43,"1,025.19",n.a,601.62,637.57,567.51,373.47,508.68,n.a,569.91,621.85,558.54,398.96,516.51,924.16,"4,398.73"
Mumbai,"21,962.79","5,299.09","9,519.24","7,591.34","4,852.20","21,562.70","11,939.72","10,023.07","3,337.86","4,263.40","4,333.91","3,408.37","4,343.09","3,815.50","2,758.89","1,865.00","1,508.54","2,212.04","7,751.46","3,128.70","3,311.93","8,616.45","5,539.42","3,030.09","11,928.38","1,522.19","3,952.73","2,224.53","2,835.74","11,566.96","4,333.91","7,751.46","3,697.74","6,204.99","4,242.35","2,132.94","1,618.19","2,811.72","1,303.81","5,362.66","7,571.94","3,349.31","15,532.77","4,192.65","11,295.70",n.a,805.72,812.47,606.34,442.21,383.53,773.59,"1,091.93",913.01,705.73,403.57,453.65,"2,411.46","3,127.96","3,077.03","2,285.63","1,576.97","1,319.60",919.83,"1,389.84","1,445.90","1,116.99",755.64,645.01,"1,491.62","1,738.12","1,631.13","1,168.64",821.32,674.59,"2,858.55","6,587.75"
